"id", "created_at", "name", "has_test", "alternate_url"
"69216429","2022-09-04T15:58:32+0300","Data Scientist (NLP, СV)",false,"https://hh.ru/vacancy/69216429"
"68620322","2022-09-02T16:55:49+0300","Junior Data Scientist (NLP)",false,"https://hh.ru/vacancy/68620322"
"69462506","2022-09-05T08:20:34+0300","Data Scientist",false,"https://hh.ru/vacancy/69462506"
"69197357","2022-09-04T18:20:35+0300","Data scientist / Аналитик",false,"https://hh.ru/vacancy/69197357"
"68981446","2022-09-03T20:16:57+0300","Data Scientist (Computer Vision) - Junior",false,"https://hh.ru/vacancy/68981446"
"69374505","2022-09-04T12:44:42+0300","Middle+ Data scientist / ML разработчик.",false,"https://hh.ru/vacancy/69374505"
"69175957","2022-09-03T13:51:57+0300","Data Scientist",false,"https://hh.ru/vacancy/69175957"
"69383038","2022-09-04T15:26:10+0300","Программист Python/Data Scientist (junior / middle)",false,"https://hh.ru/vacancy/69383038"
"68620702","2022-09-02T17:05:05+0300","Data Scientist / ML Engineer",false,"https://hh.ru/vacancy/68620702"
"69492360","2022-09-05T15:23:30+0300","Middle/Senior Data Scientist",false,"https://hh.ru/vacancy/69492360"
"68979451","2022-09-03T17:55:34+0300","Data Scientist",false,"https://hh.ru/vacancy/68979451"
"69389032","2022-09-05T12:40:08+0300","Data Scientist",false,"https://hh.ru/vacancy/69389032"
"69414777","2022-09-02T13:08:08+0300","Big Data Engineer / Data Scientist / Machine Learning",false,"https://hh.ru/vacancy/69414777"
"68993868","2022-09-05T13:26:04+0300","Data Scientist",false,"https://hh.ru/vacancy/68993868"
"69493820","2022-09-05T15:48:13+0300","Data scientist",false,"https://hh.ru/vacancy/69493820"
"69492359","2022-09-05T15:23:30+0300","Middle/Senior Data Scientist",false,"https://hh.ru/vacancy/69492359"
"69467410","2022-09-05T09:41:48+0300","Data Scientist (Центр валидации моделей КИБ)",false,"https://hh.ru/vacancy/69467410"
"69484448","2022-09-05T13:22:39+0300","Data Scientist",false,"https://hh.ru/vacancy/69484448"
"68958894","2022-09-03T10:54:54+0300","Data Scientist в Сбер",false,"https://hh.ru/vacancy/68958894"
"69471848","2022-09-05T10:39:20+0300","Data scientist (SberData)",false,"https://hh.ru/vacancy/69471848"
